Date,Sales
2024-01-01,224.84
2024-01-02,193.09
2024-01-03,232.38
2024-01-04,276.15
2024-01-05,188.29
2024-01-06,188.29
2024-01-07,278.96
2024-01-08,238.37
2024-01-09,176.53
2024-01-10,227.13
2024-01-11,176.83
2024-01-12,176.71
2024-01-13,212.1
2024-01-14,104.34
2024-01-15,113.75
2024-01-16,171.89
2024-01-17,149.36
2024-01-18,215.71
2024-01-19,154.6
2024-01-20,129.38
2024-01-21,273.28
2024-01-22,188.71
2024-01-23,203.38
2024-01-24,128.76
2024-01-25,172.78
2024-01-26,205.55
2024-01-27,142.45
2024-01-28,218.78
2024-01-29,169.97
2024-01-30,185.42
2024-01-31,169.91
2024-02-01,292.61
2024-02-02,199.33
2024-02-03,147.11
2024-02-04,241.13
2024-02-05,138.96
2024-02-06,210.44
2024-02-07,102.02
2024-02-08,133.59
2024-02-09,209.84
2024-02-10,236.92
2024-02-11,208.57
2024-02-12,194.22
2024-02-13,184.94
2024-02-14,126.07
2024-02-15,164.01
2024-02-16,176.97
2024-02-17,252.86
2024-02-18,217.18
2024-02-19,111.85
2024-02-20,216.2
2024-02-21,180.75
2024-02-22,166.15
2024-02-23,230.58
2024-02-24,251.55
2024-02-25,246.56
2024-02-26,158.04
2024-02-27,184.54
2024-02-28,216.56
2024-02-29,248.78
2024-03-01,176.04
2024-03-02,190.72
2024-03-03,144.68
2024-03-04,140.19
2024-03-05,240.63
2024-03-06,267.81
2024-03-07,196.4
2024-03-08,250.18
2024-03-09,218.08
2024-03-10,167.74
2024-03-11,218.07
2024-03-12,276.9
2024-03-13,198.21
2024-03-14,278.23
2024-03-15,69.01
2024-03-16,241.1
2024-03-17,204.35
2024-03-18,185.05
2024-03-19,204.59
2024-03-20,100.62
2024-03-21,189.02
2024-03-22,217.86
2024-03-23,273.89
2024-03-24,174.09
2024-03-25,159.58
2024-03-26,174.91
2024-03-27,245.77
2024-03-28,216.44
2024-03-29,173.51
2024-03-30,225.66
2024-03-31,204.85
2024-04-01,248.43
2024-04-02,164.9
2024-04-03,183.62
2024-04-04,180.39
2024-04-05,126.82
2024-04-06,214.81
2024-04-07,213.05
2024-04-08,200.26
2024-04-09,188.27
2024-04-10,129.23
2024-04-11,178.97
2024-04-12,182.86
2024-04-13,159.89
2024-04-14,191.94
2024-04-15,220.2
2024-04-16,294.31
2024-04-17,208.73
2024-04-18,212.88
2024-04-19,196.28
2024-04-20,104.06
2024-04-21,198.67
2024-04-22,203.01
2024-04-23,323.16
2024-04-24,190.38
2024-04-25,215.08
2024-04-26,198.26
2024-04-27,141.57
2024-04-28,257.14
2024-04-29,237.6
2024-04-30,239.55
2024-05-01,154.53
2024-05-02,270.14
2024-05-03,129.91
2024-05-04,229.34
2024-05-05,309.52
2024-05-06,150.47
2024-05-07,171.69
2024-05-08,204.98
2024-05-09,174.83
2024-05-10,122.47
2024-05-11,203.43
2024-05-12,146.88
2024-05-13,223.68
2024-05-14,154.03
2024-05-15,277.5
2024-05-16,160.84
2024-05-17,183.9
2024-05-18,240.68
2024-05-19,138.46
2024-05-20,211.37
2024-05-21,265.36
2024-05-22,119.63
2024-05-23,209.23
2024-05-24,212.99
2024-05-25,239.09
2024-05-26,138.15
2024-05-27,133.98
2024-05-28,226.1
2024-05-29,214.85
2024-05-30,212.52
2024-05-31,217.32
2024-06-01,166.0
2024-06-02,211.61
2024-06-03,214.65
2024-06-04,164.28
2024-06-05,293.29
2024-06-06,223.69
2024-06-07,140.43
2024-06-08,232.83
2024-06-09,151.27
2024-06-10,239.35
2024-06-11,257.93
2024-06-12,158.97
2024-06-13,248.17
2024-06-14,220.64
2024-06-15,241.1
2024-06-16,294.84
2024-06-17,187.73
2024-06-18,162.31
2024-06-19,155.52
2024-06-20,159.21
2024-06-21,196.14
2024-06-22,217.06
2024-06-23,213.83
2024-06-24,241.36
2024-06-25,200.65
2024-06-26,272.68
2024-06-27,186.77
2024-06-28,336.01
2024-06-29,231.28
2024-06-30,157.14
